Items in order,lemmatized_text
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",x grilled chicken jamaican tender x grilled chicken peri peri tangdi
"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",x peri peri fry x fried chicken angara tender x grilled chicken angara tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",x fried chicken ghostbuster tender x angara grilled paneer pc
"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",x peri peri krispers x fried chicken angara tender
"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken jamaican tangdi x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Angara Rice",x fried chicken angara tender x angara rice
1 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"2 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x tipsy tiger ginger ale x bone jamaican grilled chicken x bone smoky bbq grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Angara Aloo Tuk Tuki,x angara aloo tuk tuki
1 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Salted Fries",x animal fry x salted fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Angara Tender",x bone jamaican grilled chicken x fried chicken angara tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Jamaican Sauce, 2 x Grilled Chicken Jamaican Tender",x jamaican sauce x grilled chicken jamaican tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries, 1 x Bone in Peri Peri Grilled Chicken",x bone smoky bbq grilled chicken x aac signature fry x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tenders + Salted Fries",x bone jamaican grilled chicken x grilled chicken peri peri tender x grilled chicken angara tender salted fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Animal Fries,x animal fry
1 x AAC Signature Krispers,x aac signature krispers
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x bone smoky bbq grilled chicken x fried chicken peri peri tender peri peri fry
"1 x Angara Aloo Tuk Tuki, 1 x AAC Signature Fries",x angara aloo tuk tuki x aac signature fry
1 x Animal Fries,x animal fry
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Animal Fries, 1 x Grilled Chicken Smoky BBQ Tender",x animal fry x grilled chicken smoky bbq tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Fried Chicken Angara Tender,x fried chicken angara tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken peri peri tender x grilled chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Salted Fries",x fried chicken angara tender x salted fry
"1 x Fried Chicken Peri Peri Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Indian Pico De-Gallo",x fried chicken peri peri tender x garlic aioli x fried chicken classic tender x indian pico degallo
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken jamaican tender x grilled chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone smoky bbq grilled chicken x fried chicken classic tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x AAC Saucy Fries",x fried chicken peri peri tender x aac saucy fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grilled chicken x grilled chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grilled chicken x bone peri peri grilled chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken smoky bbq tender x grilled chicken jamaican tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone smoky bbq grilled chicken x grilled chicken peri peri tender
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Peri Peri Tender",x fried chicken classic tender x grilled chicken peri peri tender
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender",x fried chicken peri peri tender x grilled chicken smoky bbq tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone kabuli grilled chicken x fried chicken classic tender
"2 x Grilled Chicken Smoky BBQ Tangdi, 1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken smoky bbq tangdi x fried chicken classic tender x grilled chicken jamaican tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken angara tender x grilled chicken peri peri tender
"1 x Grilled Chicken Peri Peri Tangdi, 1 x Grilled Chicken Ghostbuster Tangdi",x grilled chicken peri peri tangdi x grilled chicken ghostbuster tangdi
"2 x Bone in Peri Peri Grilled Chicken, 2 x Garlic Aioli",x bone peri peri grilled chicken x garlic aioli
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"2 x India Dynamite sauce, 2 x Bone in Angara Grilled Chicken, 1 x AAC Special Slaw",x india dynamite sauce x bone angara grilled chicken x aac special slaw
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Animal Fries",x bone smoky bbq grilled chicken x animal fry
"2 x Grilled Chicken Peri Peri Tender, 2 x Salted Krispers",x grilled chicken peri peri tender x salted krispers
"1 x Cafreal dip, 1 x Indian Pico De-Gallo, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x cafreal dip x indian pico degallo x bone peri peri grilled chicken x bone angara grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Animal Fries, 1 x Bone in Smoky Bbq Grilled Chicken",x animal fry x bone smoky bbq grilled chicken
"1 x Animal Fries, 1 x Grilled Chicken Jamaican Tender",x animal fry x grilled chicken jamaican tender
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Ghostbuster Tender",x fried chicken angara tender x fried chicken ghostbuster tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"2 x Bone in Jamaican Grilled Chicken, 2 x Grilled Chicken Angara Tender, 2 x Grilled Chicken Jamaican Tender",x bone jamaican grilled chicken x grilled chicken angara tender x grilled chicken jamaican tender
"1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x fried chicken peri peri tender x fried chicken classic tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grilled chicken x bone peri peri grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x fried chicken angara tender x bone smoky bbq grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tender",x bone jamaican grilled chicken x grilled chicken angara tender
1 x Animal Fries,x animal fry
1 x Grilled Chicken Angara Tangdi,x grilled chicken angara tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone smoky bbq grilled chicken x bone jamaican grilled chicken x salted fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x AAC Saucy Fries, 1 x Bone in Peri Peri Grilled Chicken",x aac saucy fry x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Animal Fries,x animal fry
"1 x Angara Rice, 1 x Grilled Chicken Peri Peri Tangdi",x angara rice x grilled chicken peri peri tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
